nlvnpf-0256_000001	三五〇　況　文俊　皆由吉吉法妙好似以進通})(); 保大元年八月初九日　日九月十五日  三六六　石　世銳　世銳　及由田永由山山等撰法試中在社府 保大元年八月二十一日　日九月二十六日  三六七　說　文蹇　蹇等皆由保生生禮錄此 保大元年八月二十六日　日九月二日  三六八　陳　文書　文書　皆由法試中在社府 保大元年正月十日　日二月二十二日  三六九　況　孟騫　騫等由任使候在戶局事 保大元年九月三日　日十月十三日  三八五　豫　檢檢　檢檢　皆由法試中在社府 保大元年九月十四日　日十月二十七日  三九〇　吳　聞聞　聞聞　皆由法試中在社府 保大元年九月十六日　日十月二十六日  三九一　文之　文之　皆由法試中在社府　及由任使在文獻最後 保大元年九月十六日　日十月二十六日  三九二　金　金　皆由法試中在社府　及由任使在都社社 保大元年九月二十九日　日十一月五日  三九三　花　如雜　如雜　皆由法試中在社府 保大元年九月二十九日　日十一月五日  三九四　況　請請　皆由法試中在社府 保大元年十月十日　日十一月十五日  三九五　況　請請　皆由法試中在社府 保大元年十月十五日　日十一月二十日  對接從九階 對接九反階 對接從九階 對接正九品文階 對接正九品文階 對接從八品文階 對接九反階 進補補存講 對接從五階 補 理- 項- 知- 對接正九品文階
nlvnpf-0256_000002	祝議全 見下武體
nlvnpf-0256_000003	保大元年十二月二十三日至正月二十六日 三五八節 文字 岂此遂長及而同書冊著將路論道 春首單題 保大二年正月一日至正月十六日認似計至二月五日 補補雅之予承承由對接授九文簡 樂雲頂 傳承等著應核 淑 師幹師二次接核 崇 土地平二次接恭 廢 琉嚨琉二次接恭 廢 琉雖由二次知府 段 丈夫二次知府 段 段二次知府 阮 青書書第一次及添補整步火 裴 若著著長二次知府 蔡 定庚快快二次知府 慶 文禎二次知神州通道 裴 鵬順著著二次知府 阮 文成二次知州水商佐使 阮 維嶽二次知府所高 佐 程 業著著信信二次知府 馮 定評國處二次知府 阮 文曲讚二次知府  二字 佐二次與核對授參知 佐二次接核對授隆سطس起卿下 上 上 上 佐二次接恭對授 佐二次接恭對授 佐二次知府 佐二次接恭對授 佐二次接恭對授 上 上 佐二次請對授隆سطس考火 cuaderno 佐二次知府核接接補務傳下 上 上 上 上 上 上
nlvnpf-0256_000004	奄蓋繼年三次知府 樂有續置位次知府 阮文桃承祥二次知府 鄭移時將時二次知府 阮板承承二次知府 兼有機權次正二次知府 武玉蓮謹遺二次知府兼作 葛園繼承江二次知府稱博學士 嚴文釋清州二次知府稱 嚴維継承次次知府 唐龍龍機房次二次知府 阮文議議次二次知府 阮武志清河二次知府稱博學士 阮文球生君次知府 阮漢讚撰金河二次知府稱 傅惻謂河吧次知府称 蔡延燁揚黃次知府称 阮孟謹年時二次知府称 武玉環實次二次知府称 尚中珣意室三次知府称  仝上 仝上 仝上 仝上 仝上 仝上 仝上 仝上 仝上 仝上 隆二次知府對授接移帖請下一 隆二次知府對授接移帖下 陸二次知府對授接移帖在管作 陸二次知府對授接移帖在管作 仝上 仝上 仝上 仝上 仝上 仝上 陸二次知府對授接移帖在管作
nlvnpf-0256_000005	農業 杜 敬 杜 攤 杜 謹 杜 澄 杜 文 杜 禮 杜 瑨 杜 瑨 杜 暎 杜 暎 杜 暎 杜 暎 杜 暎 杜 暎 杜 暎 杜 暎 杜 暎 杜 暎 杜 暎 杜 暎  上 上 上 上 上 上 上 上 上 上 上 上 上 上 上 上 上 上 上 上
nlvnpf-0256_000006	況有制荆州 蓋鞭騰州 高元素三級三級知州 況文達三級三級知州 況文靜三級三級知州 在州三級三級知州 于功撰三級三級知州 在文龍三級三級知州 吳第孫三級三級知州 但伯孫三級三級派 在操郴三級三級派 在仲權三級三級派 在盡吉貴三級三級派 在在三級三級派 在文慶三級三級派 傳楊惇三級三級派 況振裴三級三級派 趙根樹三級三級派 吳仲遠三級三級派 試建像三級三級派 況有司三級三級派  陞二級知州知縣兼兼俸從下 陞上 陞上 陞上 陞上 陞上 陞上 陞二級判判接結件件獲 陞二級判判接結件件獲 陞上 陞二級承判接獲 程七久俗 陞二級承判接獲極極繼 久俗下
